Champs Local Code,C Name,C Pref Name,C Code
CH00893,Other tissue,Other tissue,CH00893
CH00894,Placenta,Placenta photograph,CH00894
CH00895,Indeterminate Result for H. influenzae,Indeterminate Result for H. influenzae,CH00895
CH00896,Indeterminate Result for MERS coronavirus,Indeterminate Result for MERS coronavirus,CH00896
CH00897,Indeterminate Result for Salmonella spp.,Indeterminate Result for Salmonella spp.,CH00897
CH00898,Indeterminate Result for V. cholerae,Indeterminate Result for V. cholerae,CH00898
CH00899,Other language,Other language,CH00899
CH00900,English,English,CH00900
CH00901,French,French,CH00901
CH00902,Portuguese,Portuguese,CH00902
CH00903,Portuguese (Mozambican),Portuguese (Mozambican),CH00903
CH00904,Emakhuwa,Emakhuwa,CH00904
CH00905,Sena,Sena,CH00905
CH00906,Changana,Changana,CH00906
CH00907,Elomwe,Elomwe,CH00907
CH00908,Ronga,Ronga,CH00908
CH00909,Chope,Chope,CH00909
CH00910,Other race or ethnicity,Other race or ethnicity,CH00910
CH00911,Shangaan,Shangaan,CH00911
CH00912,Tsonga,Tsonga,CH00912
CH00913,Makhuwa,Makhuwa,CH00913
CH00914,Sena,Sena,CH00914
CH00915,Macua,Macua,CH00915
CH00916,Judaism,Judaism,CH00916
CH00917,Christian: Catholic,Christian: Catholic,CH00917
CH00918,Christian: Envagelicos,Christian: Envagelicos,CH00918
CH00919,Christian: Protestant,Christian: Protestant,CH00919
CH00920,Christian: Zione,Christian: Zione,CH00920
CH00921,Traditional African: Zione,Traditional African: Zione,CH00921
CH00922,Hospital Distrital da Manhica,Hospital Distrital da Manhica,CH00922
CH00923,Manhica-sede,Manhica-sede,CH00923
CH00924,Maragra,Maragra,CH00924
CH00925,Malavele,Malavele,CH00925
CH00926,Palmeira,Palmeira,CH00926
CH00927,Taninga,Taninga,CH00927
CH00928,Ilha Josina,Ilha Josina,CH00928
CH00929,Hospital Distrital da Manhica - Pediatric,Hospital Distrital da Manhica - Pediatric,CH00929
CH00930,Hospital Distrital da Manhica - Internal Medicine,Hospital Distrital da Manhica - Internal Medicine,CH00930
CH00931,Hospital Distrital da Manhica - Maternity,Hospital Distrital da Manhica - Maternity,CH00931
CH00932,Cambeve,Cambeve,CH00932
CH00933,Ilha Josina,Ilha Josina,CH00933
CH00934,Maciana,Maciana,CH00934
CH00935,Malavela,Malavela,CH00935
CH00936,Palmeiras,Palmeiras,CH00936
CH00937,Taninga,Taninga,CH00937
CH00938,3 de Fevereiro,3 de Fevereiro,CH00938
CH00939,Calanga,Calanga,CH00939
CH00940,Chibucutso,Chibucutso,CH00940
CH00941,Maluana,Maluana,CH00941
CH00942,Manhica sede,Manhica sede,CH00942
CH00943,Maragra,Maragra,CH00943
CH00944,Munguine,Munguine,CH00944
CH00945,Xinavane,Xinavane,CH00945
CH00946,District Hospital,District Hospital,CH00946
CH00947,Hospital,Hospital,CH00947
CH00948,Health Center,Health Center,CH00948
CH00949,Health Post,Health Post,CH00949
CH00950,Clinic,Clinic,CH00950
CH00951,Ward or Unit,Ward or Unit,CH00951
CH00952,Not performed,Not performed,CH00952
CH00953,Normal,Normal,CH00953
CH00954,Tuberculosis (TB),Tuberculosis (TB),CH00954
CH00955,Abnormal,Abnormal,CH00955
CH00956,Abnormal (but TB not mentioned),Abnormal (but TB not mentioned),CH00956
CH00957,None,None,CH00957
CH00958,Initial treatment with first-line drugs,Initial treatment with first-line drugs,CH00958
CH00959,Pretreatment with first-line drugs,Pretreatment with first-line drugs,CH00959
CH00960,Second-line treatment,Second-line treatment,CH00960
CH00961,MDR treatment,MDR treatment,CH00961
CH00962,Other treatment,Other treatment,CH00962
CH00963,Completed course,Completed course,CH00963
CH00964,Substituted with another prophylaxis medication,Substituted with another prophylaxis medication,CH00964
CH00965,Discontinued prophylaxis due to suspected adverse reaction,Discontinued prophylaxis due to suspected adverse reaction,CH00965
CH00966,Discontinued for other reason,Discontinued for other reason,CH00966
CH00967,Never received Cotrimoxazole,Never received Cotrimoxazole,CH00967
CH00968,Receiving ART at time of death,Receiving ART at time of death,CH00968
CH00969,ART discontinued previous to time of death,ART discontinued previous to time of death,CH00969
CH00970,ART discontinuation not recorded,ART discontinuation not recorded,CH00970
CH00971,No HIV infection,No HIV infection,CH00971
CH00972,HIV-exposed,HIV-exposed,CH00972
CH00973,HIV-infected,HIV-infected,CH00973
CH00974,Detectable,Detectable,CH00974
CH00975,Not detectable,Not detectable,CH00975
CH00976,400 copies/mL,400 copies/mL,CH00976
CH00977,50 copies/mL,50 copies/mL,CH00977
CH00978,20 copies/mL,20 copies/mL,CH00978
CH00979,Less than 20 copies/mL,Less than 20 copies/mL,CH00979
CH00980,Laboratory - Hematology,Laboratory - Hematology,CH00980
CH00981,Laboratory - Bacteriology,Laboratory - Bacteriology,CH00981
CH00982,Laboratory - Parasitology,Laboratory - Parasitology,CH00982
CH00983,Laboratory - Immunology,Laboratory - Immunology,CH00983
CH00984,Exact time recorded,Exact time recorded,CH00984
CH00985,Estimated time,Estimated time,CH00985
CH00986,Persistent,Persistent,CH00986
CH00987,Intermittent,Intermittent,CH00987
CH00988,Oral,Oral,CH00988
CH00989,Rectal,Rectal,CH00989
CH00990,Axillary,Axillary,CH00990
CH00991,Infrared,Infrared,CH00991
CH00992,Method not specified,Method not specified,CH00992
CH00993,Alert,Alert,CH00993
CH00994,Confused or Agitated or Irritable,Confused or Agitated or Irritable,CH00994
CH00995,Lethargic,Lethargic,CH00995
CH00996,"Unconscious, responsive only to painful stimuli","Unconscious, responsive only to painful stimuli",CH00996
CH00997,Unconscious and non-responsive to painful stimuli,Unconscious and non-responsive to painful stimuli,CH00997
CH00998,0,0,CH00998
CH00999,1+,1+,CH00999
CH01000,2+,2++,CH01000
CH01001,3+,3+++,CH01001
CH01002,4+,4++++,CH01002
CH01003,5+,5+++++,CH01003
CH01004,Neonatal Intensive Care Unit (NICU),Neonatal Intensive Care Unit (NICU),CH01004
CH01005,Pediatric Intensive Care Unit (PICU),Pediatric Intensive Care Unit (PICU),CH01005
CH01006,Vaginal,Vaginal,CH01006
CH01007,Caesarean section,Caesarean section,CH01007
CH01008,"Instrumentation (e.g., forceps)","Instrumentation (e.g., forceps)",CH01008
CH01009,Clear,Clear,CH01009
CH01010,Port-wine color (brown-red),Port-wine color (brown-red),CH01010
CH01011,"Yellow, with offensive smell","Yellow, with offensive smell",CH01011
CH01012,Thin Meconium,Thin Meconium,CH01012
CH01013,Thick Meconium,Thick Meconium,CH01013
CH01014,Vaccination record or child health record/card,Vaccination record or child health record/card,CH01014
CH01015,Medical record,Medical record,CH01015
CH01016,Immunization program registry,Immunization program registry,CH01016
CH01017,Caregiver report,Caregiver report,CH01017
CH01018,Other source,Other source,CH01018
CH01019,Up to date for age,Up to date for age,CH01019
CH01020,One or more delayed vaccines,One or more delayed vaccines,CH01020
CH01021,Unimmunized,Unimmunized,CH01021
CH01022,Less than 1 second,< 1 second,CH01022
CH01023,1-2 seconds,1-2 seconds,CH01023
CH01024,Greater than 2 seconds,>2 seconds,CH01024
CH01025,Well nourished,Well nourished,CH01025
CH01026,Wasting or cachexia or marasmus,Wasting or cachexia or marasmus,CH01026
CH01027,Kwashiorkor,Kwashiorkor,CH01027
CH01028,Both marasmus and kwashiorkor,Both marasmus and kwashiorkor,CH01028
CH01029,Obesity,Obesity,CH01029
CH01030,Only total BCS available (no components),Only total BCS available (no components),CH01030
CH01031,BCS components documented explicitly,BCS components documented explicitly,CH01031
CH01032,1-Watches or follows,1-Watches or follows,CH01032
CH01033,0-Fails to watch or follow,0-Fails to watch or follow,CH01033
CH01034,2-Localizes painful stimulus,2-Localizes painful stimulus,CH01034
CH01035,1-Withdraws limb from painful stimulus,1-Withdraws limb from painful stimulus,CH01035
CH01036,0-No response or inappropriate response,0-No response or inappropriate response,CH01036
CH01037,"2-Cries appropriately with pain or, if verbal, speaks","2-Cries appropriately with pain or, if verbal, speaks",CH01037
CH01038,1-Moan or abnormal cry with pain,1-Moan or abnormal cry with pain,CH01038
CH01039,0-No vocal response to pain,0-No vocal response to pain,CH01039
CH01040,Normal or flat,Normal or flat,CH01040
CH01041,Bulging or pulsing or tense,Bulging or pulsing or tense,CH01041
CH01042,Closed,Closed,CH01042
CH01043,Sunken or Depressed,Sunken or Depressed,CH01043
CH01044,Miosis,Miosis,CH01044
CH01045,Dilation,Dilation,CH01045
CH01046,Fixed,Fixed,CH01046
CH01047,Sluggish,Sluggish,CH01047
CH01048,Other findings,Other findings,CH01048
CH01049,Within normal limits,Within normal limits,CH01049
CH01050,Cataract,Cataract,CH01050
CH01051,Retinal hemorrhage,Retinal hemorrhage,CH01051
CH01052,Abnormal red reflex,Abnormal red reflex,CH01052
CH01053,Elevated transaminases,Elevated transaminases,CH01053
CH01054,Cholestasis,Cholestasis,CH01054
CH01055,Other abnormality,Other abnormality,CH01055
CH01056,Renal insufficiency,Renal insufficiency,CH01056
CH01057,Not tender to palpation,Not tender to palpation,CH01057
CH01058,Tender to palpation,Tender to palpation,CH01058
CH01059,Hypotonia,Hypotonia,CH01059
CH01060,Hypertonia,Hypertonia,CH01060
CH01061,Increased,Increased,CH01061
CH01062,Decreased,Decreased,CH01062
CH01063,Absent,Absent,CH01063
CH01064,Before pregnancy,Before pregnancy,CH01064
CH01065,First Trimester,1st Trimester,CH01065
CH01066,Second Trimester,2nd Trimester,CH01066
CH01067,Third Trimester,3rd Trimester,CH01067
CH01068,Diffuse,Diffuse,CH01068
CH01069,Focal,Focal,CH01069
CH01070,Cephalic or Vertex,Cephalic or Vertex,CH01070
CH01071,Breech,Breech,CH01071
CH01072,"Other malpresentation (includes transverse lie, arm, etc.)","Other malpresentation (includes transverse lie, arm, etc.)",CH01072
CH01073,Conjugated,Conjugated,CH01073
CH01074,Unconjugated,Unconjugated,CH01074
CH01075,No movement,No movement,CH01075
CH01076,With stimulation,With stimulation,CH01076
CH01077,Spontaneous,Spontaneous,CH01077
CH01078,Last Menstrual Period,Last Menstrual Period,CH01078
CH01079,First Trimester Ultrasound,First Trimester Ultrasound,CH01079
CH01080,Second Trimester Ultrasound,Second Trimester Ultrasound,CH01080
CH01081,Third Trimester Ultrasound,Third Trimester Ultrasound,CH01081
CH01082,Fundal Height,Fundal Height,CH01082
CH01083,Mother's Recall,Mother's Recall,CH01083
CH01084,Micromoles per liter,micromol/L,CH01084
CH01085,Micrograms per deciliter,mg/dL,CH01085
CH01088,CHAMPS Severely Ill Surveillance Consent,CHAMPS Severely Ill,CH01088
CH01089,Known age,Known age,CH01089
CH01090,Estimated age,Estimated age,CH01090
CH01091,No Education,No Education,CH01091
CH01092,Primary,Primary Education,CH01092
CH01093,Secondary,Secondary Education,CH01093
CH01094,Tertiary,Tertiary Education,CH01094
CH01095,Currently Married,Currently Married,CH01095
CH01096,Unmarried,Unmarried,CH01096
CH01097,Widowed,Widowed,CH01097
CH01098,Divorced,Divorced,CH01098
CH01099,Separated,Separated,CH01099
CH01100,Never in union,Never in union,CH01100
CH01101,Singleton,Singleton,CH01101
CH01102,Multiple,Multiple,CH01102
CH01103,Twins (2),Twins (2),CH01103
CH01104,Triplets (3),Triplets (3),CH01104
CH01105,More than 3,More than 3,CH01105
CH01106,Live birth (single),Live birth (single),CH01106
CH01107,Stillbirth (single),Stillbirth (single),CH01107
CH01108,Miscarriage or Abortion (less than 28 weeks),Miscarriage or Abortion (less than 28 weeks),CH01108
CH01109,Ectopic,Ectopic,CH01109
CH01110,Multiple live birth (all were live births),Multiple live birth (all were live births),CH01110
CH01111,Multiple outcome types (at least one live birth and one stillbirth),Multiple outcome types (at least one live birth and one stillbirth),CH01111
CH01112,Multiple Stillbirth (all stillbirths),Multiple Stillbirth (all stillbirths),CH01112
CH01113,Hours,Hours,CH01113
CH01114,Days,Days,CH01114
CH01115,Weeks,Weeks,CH01115
CH01116,Months,Months,CH01116
CH01117,Years,Years,CH01117
CH01118,Years and Months,Years and Months,CH01118
CH01119,Stillbirth not otherwise specified,Stillbirth not otherwise specified,CH01119
CH01120,Other Home (including TBA),Other Home (including TBA),CH01120
CH01121,Recorded as Unknown,Recorded as Unknown,CH01121
CH01122,Discharged home,Discharged home,CH01122
CH01123,Admitted to wards for complications,Admitted to wards for complications,CH01123
CH01124,Transferred to higher level of care,Transferred to higher level of care,CH01124
CH01125,Maternal death,Maternal death,CH01125
CH01126,Maternal death post-discharge,Maternal death post-discharge,CH01126
CH01127,Death beyond neonatal period (case died at 28 days or older),Death beyond neonatal period (case died at 28 days or older),CH01127
CH01128,1 Shot,1 Shot,CH01128
CH01129,2 Shots,2 Shots,CH01129
CH01130,At booking or first ANC visit,At booking or first ANC visit,CH01130
CH01131,Other time during pregnancy,Other time during pregnancy,CH01131
CH01132,Timing not recorded or unknown,Timing not recorded or unknown,CH01132
CH01133,No exam or nutritional information not recorded,No exam or nutritional information not recorded,CH01133
CH01134,During pregnancy,During pregnancy,CH01134
CH01135,In labor and birth,In labor and birth,CH01135
CH01136,"During pregnancy, labor, and birth","During pregnancy, labor, and birth",CH01136
CH01137,Postpartum,Postpartum,CH01137
CH01138,All time periods,All time periods,CH01138
CH01139,No transfer,No transfer,CH01139
CH01140,Before,Before,CH01140
CH01141,During,During,CH01141
CH01142,After,After,CH01142
CH01143,Transfer at multiple points,Transfer at multiple points,CH01143
CH01144,Doctor (specialist),Doctor (specialist),CH01144
CH01145,"Doctor, Medical officer, Assistant Medical Officer (AMO), Clinical Officer","Doctor, Medical officer, Assistant Medical Officer (AMO), Clinical Officer",CH01145
CH01146,Nurse,Nurse,CH01146
CH01147,Midwife,Midwife,CH01147
CH01148,Traditional birth attendant,Traditional birth attendant,CH01148
CH01149,Other health professional,Other health professional,CH01149
CH01150,Forceps or vacuum assisted,Forceps or vacuum assisted,CH01150
CH01151,Emergency Caesarean section,Emergency Caesarean section,CH01151
CH01152,Elective Caesarean section,Elective Caesarean section,CH01152
CH01153,Caesarean section not specified or Unknown,Caesarean section not specified or Unknown,CH01153
CH01154,Present,Present,CH01154
CH01155,Fetal stethoscope,Fetal stethoscope,CH01155
CH01156,Doppler,Doppler,CH01156
CH01157,Ultrasound,Ultrasound,CH01157
CH01158,Cardiotocograph (CTG),Cardiotocograph (CTG),CH01158
CH01159,More than one method,More than one method,CH01159
CH01160,As a range,As a range,CH01160
CH01161,Preterm (<37 weeks),Preterm (<37 weeks),CH01161
CH01162,Term (37-41 completed weeks),Term (37-41 completed weeks),CH01162
CH01163,Post-term (42 weeks or greater),Post-term (42 weeks or greater),CH01163
CH01164,Preterm premature rupture of membranes (PPROM) < 37 weeks,Preterm premature rupture of membranes (PPROM) < 37 weeks,CH01164
CH01165,Premature rupture of membranes (PROM),Premature rupture of membranes (PROM),CH01165
CH01166,Spontaneous with labor,Spontaneous with labor,CH01166
CH01167,Artificial (AROM),Artificial (AROM),CH01167
CH01168,Ruptured at C-section,Ruptured at C-section,CH01168
CH01169,Meconium - not specified thick or thin,Meconium - not specified thick or thin,CH01169
CH01170,Pulmonary,Pulmonary,CH01170
CH01171,Extrapulmonary,Extrapulmonary,CH01171
CH01172,Both Pulmonary and Extrapulmonary,Both Pulmonary and Extrapulmonary,CH01172
CH01173,Miliary,Miliary,CH01173
CH01174,Eccentric,Eccentric,CH01174
CH01175,Central,Central,CH01175
CH01176,Marginal,Marginal,CH01176
CH01177,Velamentous,Velamentous,CH01177
CH01178,Thin,Thin,CH01178
CH01179,Thick,Thick,CH01179
CH01180,Meconium Stained,Meconium Stained,CH01180
CH01181,Tested,Tested,CH01181
CH01182,Whole blood,Whole blood,CH01182
CH01183,Packed red blood cells,Packed red blood cells,CH01183
CH01184,Plasma,Plasma,CH01184
CH01185,Platelets,Platelets,CH01185
CH01186,Before labor and delivery,Before labor and delivery,CH01186
CH01187,During labor and delivery,During labor and delivery,CH01187
CH01188,After delivery,After delivery,CH01188
CH01189,"In pregnancy, but before labor and delivery","In pregnancy, but before labor and delivery",CH01189
CH01190,In labor and delivery,In labor and delivery,CH01190
CH01191,Both in pregnancy and in labor and delivery,Both in pregnancy and in labor and delivery,CH01191
CH01192,"In pregnancy, unknown timing","In pregnancy, unknown timing",CH01192
CH01193,Smear,Smear,CH01193
CH01194,Xpert,Xpert,CH01194
CH01195,Culture,Culture,CH01195
CH01196,Mycobacterial lipoarabinomannan (LAM) in urine,LAM,CH01196
CH01197,VDRL,VDRL,CH01197
CH01198,RPR,RPR,CH01198
CH01199,Dark phase microscopy,Dark phase microscopy,CH01199
CH01200,Penicillin Injection(s),Penicillin Injection(s),CH01200
CH01201,Doxycycline,Doxycycline,CH01201
CH01202,Hepatitis A,Hepatitis A,CH01202
CH01203,Hepatitis B,Hepatitis B,CH01203
CH01204,Hepatitis C,Hepatitis C,CH01204
CH01205,Hepatitis D,Hepatitis D,CH01205
CH01206,Hepatitis E,Hepatitis E,CH01206
CH01207,Antibiotic,Antibiotic,CH01207
CH01208,Other Medication Type,Other Medication Type,CH01208
CH01209,Penicillin,Penicillin,CH01209
CH01210,Ampicillin,Ampicillin,CH01210
CH01211,Amoxicillin,Amoxicillin,CH01211
CH01212,Augmentin,Augmentin,CH01212
CH01213,Gentamicin,Gentamicin,CH01213
CH01214,Metronidazole,Metronidazole,CH01214
CH01215,Cefazolin,Cefazolin,CH01215
CH01216,Erythromycin,Erythromycin,CH01216
CH01217,Cephalexin,Cephalexin,CH01217
CH01218,Magnesium sulfate,Magnesium sulfate,CH01218
CH01219,Oxytocin,Oxytocin,CH01219
CH01220,Ergometrine,Ergometrine,CH01220
CH01221,Misoprostol,Misoprostol,CH01221
CH01222,Iron,Iron,CH01222
CH01223,"Steroids (Betamethasone, Dexamethasone)","Steroids (Betamethasone, Dexamethasone)",CH01223
CH01224,Intravenous (IV),Intravenous (IV),CH01224
CH01225,Intramuscular (IM),Intramuscular (IM),CH01225
CH01226,Subcutaneous (SC),Subcutaneous (SC),CH01226
CH01227,per Rectum (PR),per Rectum (PR),CH01227
CH01228,Oral by Mouth (PO),Oral by Mouth (PO),CH01228
CH01229,Sublingual (SL),Sublingual (SL),CH01229
CH01230,QD daily (also QHS nightly),QD daily (also QHS nightly),CH01230
CH01231,BID twice daily,BID twice daily,CH01231
CH01232,TID three times a day,TID three times a day,CH01232
CH01233,QID four times a day,QID four times a day,CH01233
CH01234,Pre-term labor,Pre-term labor,CH01234
CH01235,Urinary tract infection or pyelonephritis,Urinary tract infection or pyelonephritis,CH01235
CH01236,Prolonged Rupture of Membranes,Prolonged Rupture of Membranes,CH01236
CH01237,Foul discharge or cervicitis,Foul discharge or cervicitis,CH01237
CH01238,Maternal fever,Maternal fever,CH01238
CH01239,Suspected amnionitis or chorioamnionitis,Suspected amnionitis or chorioamnionitis,CH01239
CH01240,Sepsis,Sepsis,CH01240
CH01241,Preclampsia or eclampsia,Preclampsia or eclampsia,CH01241
CH01242,Hemorrhage,Hemorrhage,CH01242
CH01243,Anemia,Anemia,CH01243
CH01244,Prevention of postpartum hemorrhage,Prevention of postpartum hemorrhage,CH01244
CH01245,Antepartum (before onset of labor),Antepartum (before onset of labor),CH01245
CH01246,Intrapartum (during labor),Intrapartum (during labor),CH01246
CH01247,At time of delivery,At time of delivery,CH01247
CH01248,Regular nursery,Regular nursery,CH01248
CH01249,Special care nursery,Special care nursery,CH01249
CH01250,Large for gestational age,Large for gestational age,CH01250
CH01251,Small for gestational age - Symmetric,Small for gestational age - Symmetric,CH01251
CH01252,Small for gestational age - Asymmetric,Small for gestational age - Asymmetric,CH01252
CH01253,Small for gestational age - not specified if symmetric or asymmetric,Small for gestational age - not specified if symmetric or asymmetric,CH01253
CH01254,Loose nuchal cord,Loose nuchal cord,CH01254
CH01255,Tight nuchal cord,Tight nuchal cord,CH01255
CH01256,1 wrap of nuchal cord,1 wrap of nuchal cord,CH01256
CH01257,More than 1 wrap of nuchal cord (>1),More than 1 wrap of nuchal cord (>1),CH01257
CH01258,Movement - not specified if with or without stimulation,Movement - not specified if with or without stimulation,CH01258
CH01259,Stethoscope,Stethoscope,CH01259
CH01260,Palpation,Palpation,CH01260
CH01261,On monitor (pulse-Ox or cariotocograph (CTG)),On monitor (pulse-Ox or cariotocograph (CTG)),CH01261
CH01262,Organisim found or seen,Organisim found or seen,CH01262
CH01263,Other specimen type,Other specimen type,CH01263
CH01264,Other testing method,Other testing method,CH01264
CH01265,Afrikaans,Afrikaans,CH01265
CH01266,Ndebele,Ndebele,CH01266
CH01267,Northern Sotho,Northern Sotho,CH01267
CH01268,Sesotho,Sesotho,CH01268
CH01269,Swazi,Swazi,CH01269
CH01270,Tsonga,Tsonga,CH01270
CH01271,Tswana,Tswana,CH01271
CH01272,Venda,Venda,CH01272
CH01273,Xhosa,Xhosa,CH01273
CH01274,Zulu,Zulu,CH01274
CH01275,Africans or Blacks,Africans or Blacks,CH01275
CH01276,Coloureds,Coloureds,CH01276
CH01277,Christian: Evangelical Charismatic,Christian: Evangelical Charismatic,CH01277
CH01278,"Christian: African independent Church (ZCC, Shembe, Apostolic)","Christian: African independent Church (ZCC, Shembe, Apostolic)",CH01278
CH01279,Traditional African: Ancestral,Traditional African: Ancestral,CH01279
CH01280,Traditional African: Tribal,Traditional African: Tribal,CH01280
CH01281,Soweto (JHB-SWT),Soweto (JHB-SWT),CH01281
CH01282,Orange Farm (JHB-ORGF),Orange Farm (JHB-ORGF),CH01282
CH01283,Zola Clinic,Zola Clinic,CH01283
CH01284,Women Plus Clinic,Women Plus Clinic,CH01284
CH01285,Freedom Park Clinic,Freedom Park Clinic,CH01285
CH01286,Mandela Sisulu Clinic,Mandela Sisulu Clinic,CH01286
CH01287,Moroka Clinic,Moroka Clinic,CH01287
CH01288,Freedom Park Clinic,Freedom Park Clinic,CH01288
CH01289,Eldorado Park Ext 9,Eldorado Park Ext 9,CH01289
CH01290,Orlando Clinic,Orlando Clinic,CH01290
CH01291,Noordgesig Clinic,Noordgesig Clinic,CH01291
CH01292,Tladi Clinic,Tladi Clinic,CH01292
CH01293,Protea Glen Clinic,Protea Glen Clinic,CH01293
CH01294,Zondi Clinic,Zondi Clinic,CH01294
CH01295,Michael Maponya Clinic,Michael Maponya Clinic,CH01295
CH01296,Mofolo South Clinic,Mofolo South Clinic,CH01296
CH01297,Doos Beukes Clinic,Doos Beukes Clinic,CH01297
CH01298,Jabavu Clinic,Jabavu Clinic,CH01298
CH01299,Meadowlands Zone 2 Clinic,Meadowlands Zone 2 Clinic,CH01299
CH01300,Green Village Clinic,Green Village Clinic,CH01300
CH01301,Sinqobile Clinic,Sinqobile Clinic,CH01301
CH01302,Women's clinic Protea Glen,Women's clinic Protea Glen,CH01302
CH01303,Chris Hani Baragwanth Hospital,Chris Hani Baragwanth Hospital,CH01303
CH01304,Zola-Jabulani Hospital,Zola-Jabulani Hospital,CH01304
CH01305,Lilian Goyi Clinic,Lilian Goyi Clinic,CH01305
CH01306,Shanty Family Health,Shanty Family Health,CH01306
CH01307,Chiawelo Clinic,Chiawelo Clinic,CH01307
CH01308,Slovoville Clinic,Slovoville Clinic,CH01308
CH01309,Protea South Clinic,Protea South Clinic,CH01309
CH01310,Bophelong Clinic,Bophelong Clinic,CH01310
CH01311,Eldorado Park Ext 2,Eldorado Park Ext 2,CH01311
CH01312,Mofolo Community Health Centre,Mofolo Community Health Centre,CH01312
CH01313,Elias Motsoaledi Clinic,Elias Motsoaledi Clinic,CH01313
CH01314,Kliptown Clinic,Kliptown Clinic,CH01314
CH01315,Naledi Clinic,Naledi Clinic,CH01315
CH01316,Lesedi Hospital,Lesedi Hospital,CH01316
CH01317,Hospital St John Eye,Hospital St John Eye,CH01317
CH01318,Tshepo Themba,Tshepo Themba,CH01318
CH01319,Itireleng Clinic,Itireleng Clinic,CH01319
CH01320,Charles Hurwitz Santa Centre,Charles Hurwitz Santa Centre,CH01320
CH01321,mmHg,mmHg,CH01321
CH01322,kPa,kPa,CH01322
CH01323,Arterial,Arterial,CH01323
CH01324,Venous,Venous,CH01324
CH01325,Capilary,Capilary,CH01325
CH01326,Moist,Moist,CH01326
CH01327,Slightly dry,Slightly dry,CH01327
CH01328,Dry,Dry,CH01328
CH01329,Springs back,Springs back,CH01329
CH01330,Tents briefly,Tents briefly,CH01330
CH01331,Prolonged tenting (greater than 2 sec),Prolonged tenting (greater than 2 sec),CH01331
CH01332,BCG Immunization,BCG,CH01332
CH01333,Cholera Immunization,Cholera,CH01333
CH01334,DTP or DTaP Immunization,DTP or DTaP,CH01334
CH01335,Hepatitis B Immunization,Hepatitis B,CH01335
CH01336,Polio Immunization,Polio,CH01336
CH01337,Haemophilus influenzae type b Immunization,Haemophilus influenzae type b,CH01337
CH01338,Hepatitis A Immunization,Hepatitis A,CH01338
CH01339,Human papilloma virus Immunization,Human papilloma virus,CH01339
CH01340,Japanese encephalitis Immunization,Japanese encephalitis,CH01340
CH01341,Measles Immunization,Measles,CH01341
CH01342,Meningococcal Immunization,Meningococcal,CH01342
CH01343,Mumps Immunization,Mumps,CH01343
CH01344,Pneumoccoccu Immunization,Pneumoccoccu,CH01344
CH01345,Rotavirus Immunization,Rotavirus,CH01345
CH01346,Rubella Immunization,Rubella,CH01346
CH01347,Seasonal influenza Immunization,Seasonal influenza,CH01347
CH01348,Typhoid Immunization,Typhoid,CH01348
CH01349,Varicella Immunization,Varicella,CH01349
CH01350,Yellow fever Immunization,Yellow fever,CH01350
CH01351,Not at this time,Not at this time,CH01351
CH01352,Positive for Escherichia coli/Shigella spp.,Positive for Escherichia coli/Shigella spp.,CH01352
CH01353,Negative for Escherichia coli/Shigella spp.,Negative for Escherichia coli/Shigella spp.,CH01353
CH01354,Indeterminate for Escherichia coli/Shigella spp.,Indeterminate for Escherichia coli/Shigella spp.,CH01354
CH01355,"Positive for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Positive for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01355
CH01356,"Negative for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Negative for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01356
CH01357,"Indeterminate for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Indeterminate for the presence of Shiga toxin carried by Shigella dysenteriae and/or Shiga-like toxin 1 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01357
CH01358,"Positive for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Positive for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01358
CH01359,"Negative for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Negative for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01359
CH01360,"Indeterminate for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus","Indeterminate for the presence of Shiga-like toxin 2 carried by Escherichia, Citrobacter, Aeromonas, Enterobacter genus",CH01360
CH01361,Positive for Escherichia coli carrying the aaiC virulence gene,Positive for Escherichia coli carrying the aaiC virulence gene,CH01361
CH01362,Negative for Escherichia coli carrying the aaiC virulence gene,Negative for Escherichia coli carrying the aaiC virulence gene,CH01362
CH01363,Indeterminate for Escherichia coli carrying the aaiC virulence gene,Indeterminate for Escherichia coli carrying the aaiC virulence gene,CH01363
